DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL
1604.6728,14.6968,0.0025,1.4669,136.8554,231.1037,76.2723,0.5357,4.9525,1.6414,0.9597,1.3504
1604.8252,14.6444,0.0016,1.461,137.3845,237.3444,76.3244,0.5699,4.9536,1.5906,0.9502,1.3031
1604.9776,14.6335,-0.0023,1.4473,142.8982,231.4944,74.9076,0.5657,5.3234,1.6428,0.9505,1.3415
1605.13,14.6225,-0.0034,1.4453,144.036,224.8679,73.2934,0.5449,5.5641,1.8915,0.9256,1.5489
1605.2824,14.5713,-0.0031,1.448,142.3824,230.5591,70.3775,0.5441,5.0371,2.0933,0.9436,1.7014
1605.4348,14.605,-0.0062,1.4367,140.7164,232.7377,68.8089,0.5327,5.3465,2.162,1.6506,1.7483
1605.5872,14.6039,-0.006,1.4429,140.3434,232.8,67.2988,0.5172,5.9155,2.1347,2.9125,1.7075
1605.7396,14.6006,-0.0054,1.4421,140.2687,242.303,65.2401,0.498,6.8495,1.987,1.7965,1.6293
1605.892,14.7309,-0.0049,1.4426,132.5282,233.8819,65.069,0.5161,6.0173,2.1208,1.4144,1.7216
1606.0444,14.9094,-0.0045,1.4258,127.8808,235.271,65.5117,0.5637,5.1291,2.3162,0.988,1.866
1606.1968,14.9468,-0.0023,1.4222,125.1579,235.1437,68.2946,0.5934,4.9005,2.3786,1.3058,1.9025
1606.3492,14.6553,-0.0028,1.4326,124.4852,234.1039,66.8646,0.6211,5.4046,2.2912,1.8654,1.8621
1606.5016,14.7594,-0.0025,1.4613,120.8738,233.1663,63.3331,0.5869,6.041,2.0831,1.1609,1.6837
1606.654,14.4968,-0.0029,1.4872,122.8398,228.1965,60.5831,0.5486,5.9281,1.7756,0.7194,1.4867
1606.8064,14.483,-0.0041,1.4897,124.1577,231.7629,61.5264,0.4939,5.3611,1.6395,0.8076,1.3492
1606.9588,14.3696,-0.0054,1.4672,125.9915,232.7074,65.2603,0.4883,4.8956,1.6537,0.8189,1.3633
1607.1112,14.3213,-0.0052,1.4471,131.4349,236.1795,67.0489,0.4913,4.7573,1.73,0.8434,1.4258
1607.2636,14.3585,-0.0033,1.4461,136.0199,237.3036,70.3884,0.53,4.7811,1.778,0.7569,1.4615
1607.416,14.5766,-0.0024,1.457,136.5286,232.8102,70.4724,0.5371,4.8165,1.7724,0.9097,1.4674
1607.5684,14.6957,-0.0007,1.4562,137.1033,228.3189,69.9158,0.561,4.9199,1.655,1.1145,1.3825
1607.7208,14.5328,0.0003,1.452,137.2623,231.2973,67.2847,0.5131,4.8606,1.6014,0.9201,1.3514
1607.8732,14.5483,0.0033,1.4477,140.8139,233.5978,66.7119,0.5071,4.8054,1.6088,0.8068,1.3574
1608.0256,14.6641,0.0017,1.4346,142.3317,227.27,66.8131,0.4968,4.8538,1.6529,0.9137,1.3728
1608.178,14.5479,0.0018,1.427,140.95,226.3275,67.4221,0.535,5.0402,1.654,1.1312,1.3789
1608.3304,14.9989,0.0002,1.4204,140.2894,235.4462,66.2412,0.5431,5.1498,1.6506,1.0765,1.3637
1608.4828,15.2564,-0.0016,1.4295,140.2021,229.8625,64.4865,0.5631,5.0987,1.5814,0.9287,1.3192
1608.6352,15.2872,-0.0042,1.4401,137.7581,227.3398,59.9563,0.5486,4.9847,1.5957,0.9323,1.3107
1608.7876,15.5081,-0.0022,1.4578,137.2831,226.2323,59.3668,0.5434,4.9384,1.6357,0.9512,1.3604
1608.94,15.6221,-0.0005,1.4832,136.0708,233.9943,61.8299,0.5365,4.966,1.7371,0.9897,1.4356
1609.0924,15.8067,0.0024,1.5078,135.8071,236.2221,65.0062,0.5567,4.9457,1.8259,1.3477,1.5121
1609.2448,15.9631,0.0051,1.5295,134.7964,228.1049,65.5452,0.5475,4.9858,1.9004,1.2008,1.5605
1609.3972,15.9524,0.0082,1.5541,133.6582,221.83,62.8128,0.5263,5.035,2.0501,1.0371,1.6694
1609.5496,15.9894,0.0109,1.5734,131.2156,221.6278,61.3028,0.5253,5.0169,2.1944,1.1908,1.8023
1609.702,16.0611,0.0119,1.5897,130.2285,222.3618,60.1896,0.5344,5.1847,2.2948,1.891,1.8612
1609.8544,16.1053,0.014,1.5987,133.1308,222.9014,60.0884,0.5447,5.4145,2.1097,1.7354,1.7261
1610.0068,16.1225,0.018,1.6257,132.9517,224.3074,56.3541,0.513,5.8828,1.9733,1.3397,1.5957
1610.1592,16.1957,0.0214,1.6565,133.0136,226.9022,51.7872,0.5082,5.6055,1.7401,0.965,1.4115
1610.3116,16.3202,0.0209,1.6622,121.8167,228.0338,51.4836,0.5241,5.3234,1.681,0.879,1.3727
1610.464,16.8669,0.0227,1.6478,124.505,228.0667,53.8121,0.5528,5.0381,1.6762,1.0222,1.3538
1610.6164,16.7815,0.02,1.6159,124.0829,235.7419,60.7887,0.5492,5.0857,1.6817,0.9178,1.3587
1610.7688,16.6447,0.0142,1.579,126.8147,239.0302,62.2102,0.541,5.0731,1.6586,0.8524,1.3546
1610.9212,16.6883,0.0141,1.5602,129.1375,239.9791,65.6179,0.5216,5.1898,1.6251,1.0591,1.3128
1611.0736,16.5583,0.0136,1.5614,143.6163,226.7477,64.2511,0.5382,5.0294,1.5673,1.0238,1.2984
1611.226,16.3359,0.0139,1.5709,142.3858,231.311,66.5757,0.5219,4.9898,1.6469,0.8903,1.3421
1611.3784,16.4372,0.01,1.5616,143.4846,229.9483,69.308,0.5738,4.7693,1.6963,0.8509,1.3912
1611.5308,16.3351,0.0111,1.5512,138.1026,223.2092,70.9222,0.5895,4.9307,1.7237,0.8428,1.4235
